[1612168500000, '33759.83000000', '33759.83000000', '33759.83000000', '33759.83000000', '1.00000000', 1612168799999, '33759.83000000', 1, '0.00000000', '0.00000000', '0']
[1612168800000, '33759.83000000', '33759.83000000', '33759.83000000', '33759.83000000', '0.00000000', 1612169099999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612169100000, '33759.83000000', '33759.83000000', '33759.83000000', '33759.83000000', '0.00000000', 1612169399999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612169400000, '33759.83000000', '33759.83000000', '33759.83000000', '33759.83000000', '0.00000000', 1612169699999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612169700000, '33759.83000000', '33759.83000000', '33759.83000000', '33759.83000000', '0.00000000', 1612169999999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612170000000, '34142.31000000', '34142.31000000', '34142.31000000', '34142.31000000', '0.00300000', 1612170299999, '102.42693000', 1, '0.00300000', '102.42693000', '0']
[1612170300000, '34142.31000000', '34142.31000000', '34142.31000000', '34142.31000000', '0.00000000', 1612170599999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612170600000, '34142.31000000', '34142.31000000', '34142.31000000', '34142.31000000', '0.00000000', 1612170899999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612170900000, '34142.31000000', '34142.31000000', '34142.31000000', '34142.31000000', '0.00104900', 1612171199999, '35.81528319', 1, '0.00104900', '35.81528319', '0']
[1612171200000, '34142.31000000', '34142.31000000', '34142.31000000', '34142.31000000', '0.00146800', 1612171499999, '50.12091108', 2, '0.00146800', '50.12091108', '0']
[1612171500000, '34142.31000000', '34142.31000000', '34142.31000000', '34142.31000000', '0.00000000', 1612171799999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612171800000, '34142.31000000', '34142.31000000', '34142.31000000', '34142.31000000', '0.00000000', 1612172099999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612172100000, '34142.31000000', '34142.31000000', '34142.31000000', '34142.31000000', '0.00000000', 1612172399999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612172400000, '34142.31000000', '34142.31000000', '34142.31000000', '34142.31000000', '0.00000000', 1612172699999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612172700000, '34142.31000000', '34142.31000000', '34142.31000000', '34142.31000000', '0.00000000', 1612172999999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612173000000, '34142.31000000', '34142.31000000', '34142.31000000', '34142.31000000', '0.00000000', 1612173299999, '0.00000000', 0, '0.00000000', '0.00000000', '0']
[1612173300000, '34142.31000000', '34142.31000000', '34142.31000000', '34142.31000000', '0.00600000', 1612173599999, '204.85386000', 6, '0.00600000', '204.85386000', '0']
[1612173600000, '34142.31000000', '34142.31000000', '34142.31000000', '34142.31000000', '0.00300000', 1612173899999, '102.42693000', 1, '0.00300000', '102.42693000', '0']
